location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,ceiling_height,district,street,underground
Москва,12,35,3,95.7,38500000.0,-1,Вторичка,-1,-1,-1,-1,-1,"57,3 м²",19 м²,-1,Останкинский, Годовикова,Алексеевская
Москва,2,9,3,74.4,54900000.0,-1,Вторичка,1 балкон,Наземная,-1,-1,-1,55 м²,10 м²,-1,Пресненский,Большая Бронная ,Пушкинская
Москва,3,10,3,135.0,134000000.0,-1,Вторичка,2 балкона,Подземная,-1,-1,-1,93 м²,11 м²,-1,Тверской,Страстной бульвар,Пушкинская
Москва,1,5,3,55.4,15500000.0,1959,Вторичка,-1,Открытая,-1,-1,-1,"34,3 м²","5,6 м²",-1,Сокольники,Большая Остроумовская ,Сокольники
Москва,15,26,3,54.2,24300000.0,2023,Вторичка,-1,-1,-1,-1,-1,"37,1 м²","4,1 м²","2,87 м",Нагатино-Садовники,Нагатинская набережная,Нагатинская
Москва,24,24,3,58.0,37490000.0,-1,Вторичка,-1,-1,-1,-1,-1,"27,6 м²",16 м²,-1,Хорошево-Мневники,Шелепихинская набережная,Шелепиха
Москва,4,8,3,58.0,50000000.0,1960,Вторичка,1 балкон,Наземная,-1,-1,-1,32 м²,15 м²,"2,5 м",Мещанский,Садовая-Сухаревская ,Сухаревская
Москва,28,32,3,110.0,61990000.0,2006,Вторичка,-1,Подземная,-1,-1,-1,"54,1 м²",10 м²,"2,95 м",Хорошевский,Ходынский бульвар,ЦСКА
Москва,17,34,3,86.7,86700000.0,2024,Вторичка / Апартаменты,-1,Подземная,-1,-1,-1,53 м²,10 м²,"2,9 м",Дорогомилово,Поклонная ,Парк Победы
Москва,34,57,3,177.0,150000000.0,2006,Вторичка,-1,Подземная,-1,-1,-1,138 м²,21 м²,"3,1 м",Хорошевский,Чапаевский переулок,Аэропорт
Москва,2,9,3,80.8,10180800.0,2024,Новостройка,-1,-1,-1,-1,Без отделки,-1,-1,-1,,,Крёкшино
Москва,2,15,3,59.3,11539780.0,2025,Новостройка / Апартаменты,-1,Наземная,Монолитно-кирпичный,-1,"Без отделки, предчистовая, чистовая","40,5 м²","5,1 м²","2,82 м",,,Солнцево
